user_id,real_name,email,username,password,nickname,role,is_admin,otp_secret,is_2fa_enabled,registered_at,deleted_at,company_id,department_id
00000000-0000-0000-0000-000000000610,朱志宏,mei-lingmao@example.net,std_479_159067,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Cody,student,f,,f,2023-06-16 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000346,Connor Cooper,vanessajensen@example.com,std_215_561859,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Brady,student,f,,f,2025-03-10 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000443,Karen Benson,chin-tsai02@example.com,std_312_826959,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,美玲,student,f,,f,2023-07-03 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000274,陳俊宏,li-meihsiao@example.net,std_143_976258,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,武雄,student,f,,f,2024-07-31 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000450,李俊宏,ethan89@example.org,std_319_203919,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,秀鳳,student,f,,f,2024-05-19 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000311,Christina Marsh,ya-tingchen@example.net,std_180_923481,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Kevin,student,f,,f,2023-12-05 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000473,鄭柏宇,pwilkerson@example.net,std_342_910749,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Mark,student,f,,f,2024-02-19 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000525,Tina Wu,yu-meihung@example.net,std_394_688297,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,淑珍,student,f,,f,2024-08-30 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000327,Stephen Boyer,klin@example.com,std_196_515035,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Kristina,student,f,,f,2022-05-25 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000437,黃麗珍,hsiehshu-chuan@example.net,std_306_636648,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,James,student,f,,f,2022-10-01 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000491,Christopher Hicks,hsiehli-chu@example.com,std_360_358114,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Kayla,student,f,,f,2024-04-24 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000498,楊美麗,jonathan18@example.org,std_367_876487,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Dorothy,student,f,,f,2024-09-22 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000554,Ana Thomas,hsiu-lanchou@example.com,std_423_767044,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,John,student,f,,f,2025-04-18 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000134,盧政宏,moralescody@example.org,std_3_439320,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Shari,student,f,,f,2024-02-09 00:00:00+00,2024-03-11 00:00:00+00,,
00000000-0000-0000-0000-000000000470,Dawn Burke,chien-chihlin@example.com,std_339_608960,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Anita,student,f,,f,2022-12-06 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000384,楊雅玲,su-lanlin@example.com,std_253_953452,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Heather,student,f,,f,2022-12-06 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000519,李美惠,davisroger@example.org,std_388_325217,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Sean,student,f,,f,2025-06-09 00:00:00+00,9999-12-31 00:00:00+00,,
00000000-0000-0000-0000-000000000237,William Davidson,edwardcannon@example.org,std_106_792616,$2b$10$X1y/p.tXz/fJ9kG4c0hP0.W2s3D4E5F6G7H8I9J0K,Erin,student,f,,f,2023-01-10 00:00:00+00,9999-12-31 00:00:00+00,,
